5/4/2018 - Implementasi awal method-method Fish.h
5/4/2018 - Implementasi awal method-method Guppy.h
5/4/2018 - Implementasi awal method-method Piranha.h
7/4/2018 - Implementasi method eat pada Piranha.h
7/4/2018 - Implementasi method eat pada Guppy.h
7/4/2018 - Implementasi method getNearestGuppy pada Piranha.h
7/4/2018 - Implementasi method getNearestFood pada Guppy.h
9/4/2018 - Debugging method eat pada Piranha.h
9/4/2018 - Debugging method eat pada Guppy.h
9/4/2018 - Debugging method makeCoin pada Piranha.h
9/4/2018 - Debugging method makeCoin pada Piranha.h
9/4/2018 - Debugging method synchronize pada Piranha.h
9/4/2018 - Debugging method synchronize pada Piranha.h
